Average Background H score for each TF. Number of replicates: 1000
TF_name	BG Z score
Lhx4	186.454198567
SNAI1	195.482494357
HOXA4	152.004208315
ONECUT2	12.8625925447
mix-a	3950.33644587
HNF1A	108.226324362
FOSL1::JUND	626.473158574
GBX2	239.210544019
LEF1	2.97721465656
CDX1	0.0790591190405
Creb3l2	194.251451742
THAP1	1450.95177999
ZNF384	17674.6209962
NR4A1	557.976548226
EN1	2652.24017605
Rxra	127052.925151
THAP11	1.83851836689
Mecom	344.850422459
POU6F1	264.168684763
GATA1::TAL1	9.32214768956
ZNF449	97.7196467325
Rarg(var.2)	5.80787846394e-05
Arid3b	757.220689858
ZBTB26	33.9782253792
FOXK1	755.368976327
HOXA13	0.889910012532
SOX21	0.000916967964576
TFAP2E	1.90832512592
USF2	103.557236793
GRHL1	18.5698654446
ETV5	417.744878276
MAX::MYC	344.718080964
IRF6	51.9436741733
ARGFX	4.50340313092
Smad2::Smad3	47.1117325997
MITF	61.4103071551
MAFA	1297.77341937
ZNF282	28.2707297573
TCF7	13639.8618917
MGA	152.5300474
Creb5	3.91622024338
NFATC1	584.816690631
PAX9	0.000124527019037
NEUROD1	308.717024621
Klf1	706.312527391
Mafb	69.4335340182
STAT1	20.87897225
NR1I2	163.026125094
GATA4	203.702358087
SREBF2	379.944863653
TP53	0.957231646197
TBP	203.638535228
FOSL2::JUN(var.2)	155.698294635
NR2F1(var.2)	5.12632812118
Nr2f6(var.2)	0.0496243237355
Hoxa11	134.157396097
GLIS2	0.691092421078
E2F2	4.65872998295
NR1D1	1.9575653854
HESX1	278.567243647
RARG(var.3)	35.2229024939
USF1	148.844423583
TFAP2B(var.2)	1054.69715234
Msx3	482.185932516
Zic1::Zic2	1058.78727497
SPI1	830.447286217
IRF1	481.462534803
SPIB	167.55363561
Wt1	473.548996284
ISX	561.481557527
BHLHE23	4.57985015117
PRDM1	19526.4625805
FOXK2	854.181032172
IRF3	0.211690428793
TCF21(var.2)	168.942372933
VAX1	979.376431413
OTX2	3765.32649411
KLF5	234.51250295
MEIS2(var.2)	476.01145737
KLF4	2409.99943308
TBR1	780.21372627
VSX2	514.01596952
MYOD1	3106.32221647
TFE3	660.301926424
RXRG(var.2)	0.617532728941
LHX6	172.616406016
TLX2	278.133501446
MEIS3	1553.7925847
FOXF2	3910.76534581
HLTF	1141.88528302
ZNF75D	113.121462532
Stat5a	1464.45029502
NHLH1	95.5644204468
TGIF2	0.954211726749
ELF3	476.298430458
Sox5	840.023960596
KLF6	168.307463842
Sox11	0.0127213601368
EGR1	185.646322854
KLF9	287.484384287
RELA	599.297880745
SOX8	169.38715246
SP4	1.35354572397
PAX6	271.881400286
FOXI1	639.157608622
ELK3	14.8328732966
KLF13	0.0078000682424
MEIS1(var.2)	256.585509729
MAF::NFE2	586.217710737
GLI2	0.27136537312
FOSL2::JUNB	326.373269567
HOXD12	3.03666663494
RXRB	1.77315863341e-05
PAX7	3.55202368225
SCRT1	479.133664549
TCF4	90.8919399049
FOXO3	15.171831785
HOXB5	731.933578697
POU2F1	92.6218383768
HOXD3	1414.16593788
Nr2f6	99.8226014102
RFX2	0.132596803689
EN2	123.433753487
HEY1	42.2300947618
ZEB1	25.8676868358
TFAP2C	1677.2218919
SNAI2	171.812263067
Rbpjl	2584.00804088
E2F3	4.97192166716e-05
Spz1	879.092138852
Dlx4	976.500874428
HOXC4	99.512539472
MZF1(var.2)	976.68199537
TFAP2B(var.3)	2323.89496044
NFIC	82.8719518366
POU4F1	129.858467725
Atf1	9.24978432381
NFYC	594.236780484
HES5	9.81221426919
Bhlha15	786.485832125
CUX1	19.9627873987
JDP2(var.2)	42.9013229617
VAX2	1267.23583597
TEAD1	55.3969738626
DUX4	2.48528369608
EHF	169.925385597
LHX5	163.11159285
BHLHE41	6.11233404002
MAZ	15.487765445
YY2	446.428881558
ETV1	895.752956538
RUNX1	555.565213747
GABPA	165.979136048
GSC2	321.620528462
FOXD2	31.9432577595
ZIC4	100.995274151
FOS::JUN(var.2)	677.553299939
BHLHE40	3.74546666044
HOXD11	535.524907128
HOXD8	5291.65422022
RAX	238.29539675
ZBTB6	1539.34261331
E2F4	4.61072177521
NR2F6(var.3)	0.147094725895
Prdm15	701.089338746
LHX1	437.223062345
MAX	1256.11988247
FOXP3	651.385419265
OLIG2	217.170553954
GLIS1	6.2177454317e-06
ZBTB12	517.04075089
Foxq1	5700.04688097
TFCP2	79.8956792719
Arid3a	1320.65397129
CEBPA	266.136069836
GATA3	719.777913108
BHLHE22(var.2)	14087.3237089
CEBPD	321.526785993
HOXC12	12.3644749733
ZNF143	0.00757286990459
SHOX	436.784741962
FOSL1::JUND(var.2)	319.646775755
HOXB6	283.303164569
E2F6	1167.76531841
POU3F2	375.509633647
BCL6B	0.000257873336593
OLIG3	3837.71304233
ETV2	0.87899692057
RFX4	1333.58194265
TGIF2LY	133.101807227
ZSCAN29	0.929508639623
IRF5	32.7788713515
FOSL2::JUND	24.5896658031
Nr5a2	19.1783997483
ALX3	976.015611193
FOXG1	143.14591434
CUX2	71.7039681572
Lhx8	78.5923592145
HNF4G	1008.83142125
TFAP2A	2533.22102495
ELF1	213.952621283
HOXB9	48.9831202317
JUN::JUNB(var.2)	191.192026732
PLAG1	7270.97435851
HOXC13	82.5759263821
GATA2	150.82263399
EGR2	2.94950967997
ZNF354C	2305.22748677
HOXB8	624.613930251
STAT1::STAT2	195.058615498
POU4F2	7.58222870916
JUN::JUNB	109.024400972
Nkx3-1	26.4752343218
Pou5f1::Sox2	91.5115839943
MYBL2	63.7128111423
RUNX2	242.439633465
DLX5	58.1368261204
EGR4	259.903417362
RREB1	15946.1894884
EWSR1-FLI1	270.229179142
NKX6-3	338.219226197
SMAD5	10.2169804924
ZIC3	109.827146174
Nr2e3	1993.71534645
NR1D2	62.2427184874
HES2	9.29733033227
GCM1	9.08661401767
GCM2	575.642792572
MIXL1	512.82827552
GSX2	156.506419493
RELB	72.6963701544
HEY2	463.684860652
Stat4	163.043319888
Mlxip	27.1663733665
CREM	197.423439999
NR2F1(var.3)	0.0952739816067
ZNF317	221.462862066
GATA6	1068.35483824
TGIF1	0.00427038151722
SOX18	592.469317551
CENPB	16.062507189
RXRG	0.000141988004202
Arntl	299.354476994
IRF8	2.1974615399
Sox3	232.35184306
CDX4	0.225433398319
ZNF410	5.2337186587e-06
BARHL2	769.052518803
Nr2e1	130.656887167
Ar	0.654050487679
TBX5	9564.11482721
MTF1	100.531631042
NOTO	2573.40905854
PPARD	13.9290950403
FOSB::JUN	60.0461884683
NR1H4	375.358804243
NR1H2::RXRA	7.37695834034
Dmrt1	41.487156447
Lhx3	668.699250769
Klf12	0.533342579723
BHLHA15(var.2)	1490.73996533
MEOX2	1003.01825516
BARX2	252.683367844
Gfi1b	2306.31492573
CTCF	12.1390604691
ATF3	0.000493856717673
Stat2	1163.20477878
Shox2	141.436182626
THRB	163.573137436
BATF	121.23853294
E2F7	0.013729831308
TFAP2A(var.3)	22.2416549201
Crx	6323.82142102
FOS::JUND	30.8160773174
NFATC4	6196.1096017
TBX6	465.406168544
FOXA3	7252.70645831
PBX2	368.638906177
Nkx3-2	143.806234994
EMX2	101.116155484
Hic1	166.577449891
GLIS3	7.43131905342
PRRX2	180.344372979
ELF2	0.133668904548
ZIC1	0.197824830542
FOS::JUNB	3.24485332899
KLF3	1.38756012876
Smad4	30.7370901591
HOXA7	783.692307574
CEBPE	315.299231883
GMEB2	89.4147346984
YY1	5.64066791502
SP1	317.537415837
Gmeb1	56.1665532707
POU2F2	723.844286836
Sox6	336.548840403
POU1F1	1268.19451332
POU3F1	290.144630195
FOSL2::JUNB(var.2)	56.8507610411
TEF	31.1090415638
ASCL1	1182.6340831
SRY	926.038609842
HOXC9	5.7497700387
RXRB(var.2)	23.2722315011
FOXH1	3.64074633385
KLF2	39938.8164526
PAX1	0.00200930706666
NEUROG2(var.2)	1254.03542546
MNT	184.339381763
BACH1	5814.273498
Stat6	193.454585938
ETV6	28.8539713045
INSM1	200.315918232
Sox17	614.505686998
TCF7L2	2446.6471984
JUNB	357.202054405
NR5A1	752.108365227
LIN54	1541.84217914
RFX3	174.275479688
JUN(var.2)	4.89358214438
CEBPB	760.759724423
Alx1	26.3381269423
PKNOX1	221.119299267
FOS	1.27386661912
ZFP57	28.0325559588
KLF11	54.2748746778
MSC	382.089034547
MYBL1	1.41176145785
Alx4	478.592420208
ZKSCAN5	180.167468077
ZNF652	57.1716238825
SPDEF	1.3417554538
CREB1	541.097540859
Nr1h3::Rxra	24.0800763811
CREB3L4(var.2)	85.8546496338
ZNF135	3.75539282826
MSX1	531.15340925
Nfe2l2	19.0332291592
Rarb(var.2)	0.0238586647661
PKNOX2	5.74259829109
BSX	94.77133666
MYF5	276.728389641
EBF1	437.662745195
TWIST1	221.619391234
Stat5a::Stat5b	0.177397447268
POU6F1(var.2)	18882.925106
ATOH1(var.2)	124.270217973
TFDP1	369.850414908
POU5F1B	395.436149425
NR3C1	0.755257062358
MAFK	423.075562392
DMRT3	107.752695278
RORC	188.349302251
IRF4	5.2022220574e-05
SOX4	236.842231099
NKX2-3	29.3100449857
NHLH2	1.83018810203
FOXO6	268.054328313
HSF1	100.116736918
PITX2	11378.6765049
FOSL1::JUN	1953.26238198
ARNT::HIF1A	479.037266131
NR3C2	1.63392365644
ZNF382	0.316554883468
HOXD13	1.41272636579
RFX1	121.741810254
HOXA9	1250.44728796
CLOCK	64.6983844973
TBX2	4864.20401167
VDR	717.685469842
FIGLA	1490.56905627
PAX5	348.720517073
POU3F4	54.6258378932
FOXE1	2.23536151531
ZNF263	5030.5713372
Foxd3	7587.55297828
NR2C2	1153.73145198
KLF14	15.1402733268
ZBTB14	1644.10035282
HOXB3	1139.6091985
FOXN3	14.630184936
BARHL1	281.053226541
ZNF24	84.2026762178
ZNF16	0.0902402415882
FOSL2	15.3421714301
SREBF1	2093.04239201
TEAD3	14.1103003769
ELK4	3.7269502538
MAFF	667.380303049
NR4A2	701.075058723
SP8	288.84016253
HOXA1	1106.39820413
FOSL2::JUND(var.2)	179.85019927
Znf423	62.3333766218
NFATC2	1737.38156822
MEF2D	8.83395164402
Plagl1	9448.62113167
LBX2	685.865300963
